City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Alpena,US,45.0617,-83.4327,70.11,94,40,3.44,scattered clouds
117,Ucluelet,CA,48.9329,-125.5528,63.05,93,100,5.44,overcast clouds
118,Lewistown,US,40.5992,-77.5714,79.93,76,75,6.91,light rain
119,Rancho Palos Verdes,US,33.7445,-118.387,87.21,85,28,3.0,scattered clouds
120,College,US,64.8569,-147.8028,67.28,79,90,5.75,light rain
121,Elmira,US,42.0898,-76.8077,75.9,83,75,0.0,broken clouds
122,Fort Smith,US,35.3859,-94.3986,82.44,71,1,3.44,clear sky
123,Rio Rancho,US,35.2334,-106.6645,89.74,25,40,4.0,scattered clouds
124,West Plains,US,36.7281,-91.8524,77.09,79,1,1.01,clear sky
125,Susanville,US,40.4163,-120.653,80.44,18,1,3.44,haze
126,Clovis,US,36.8252,-119.7029,97.68,22,1,1.99,smoke
127,Burton,US,42.9995,-83.6163,73.62,73,1,4.61,clear sky
128,Fairview,US,40.8126,-73.999,79.86,67,1,4.61,clear sky
129,Bend,US,44.0582,-121.3153,79.88,40,1,5.99,clear sky
130,La Ronge,CA,55.1001,-105.2842,66.87,70,59,4.83,broken clouds
131,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,67.44,69,61,7.81,broken clouds
132,Causapscal,CA,48.3542,-67.227,72.95,67,82,7.65,broken clouds
133,Englewood,US,39.6478,-104.9878,82.24,47,40,1.01,scattered clouds
134,New Kensington,US,40.5698,-79.7648,78.04,75,100,3.47,overcast clouds
135,Hayden,US,47.766,-116.7866,82.06,35,1,13.8,clear sky
136,Thunder Bay,CA,48.4001,-89.3168,62.56,76,3,2.53,clear sky
137,Middlebury,US,44.0153,-73.1673,75.7,74,1,0.0,clear sky
138,North Platte,US,41.1239,-100.7654,85.01,45,20,1.01,thunderstorm
139,Show Low,US,34.2542,-110.0298,80.89,35,1,10.36,clear sky
140,Destin,US,30.3935,-86.4958,83.97,78,1,0.0,clear sky
141,Sicamous,CA,50.8331,-118.9856,76.12,32,100,7.47,overcast clouds
142,Hoquiam,US,46.9809,-123.8893,72.37,51,90,9.22,overcast clouds
143,Fenelon Falls,CA,44.5334,-78.7496,70.81,72,96,7.05,overcast clouds
144,Lively,CA,46.4334,-81.1498,66.02,85,100,4.79,overcast clouds
145,Rimbey,CA,52.6334,-114.2353,61.63,55,77,9.6,broken clouds
146,Villa Rica,US,33.7321,-84.9191,76.69,92,100,3.94,overcast clouds
147,Saint George,US,37.1041,-113.5841,100.99,4,1,4.0,clear sky
148,Gimli,CA,50.6336,-96.9907,69.44,57,100,8.32,overcast clouds
149,Grand Forks,US,47.9417,-97.4337,69.73,66,40,4.61,smoke
150,Sartell,US,45.6216,-94.2069,78.39,63,20,1.01,few clouds
151,Okotoks,CA,50.7289,-113.9828,71.1,22,93,15.99,overcast clouds
152,Rapid Valley,US,44.0625,-103.1463,72.59,61,1,1.01,smoke
153,Myrtle Beach,US,33.6891,-78.8867,81.05,94,20,5.75,few clouds
154,Republic,US,37.12,-93.4802,79.0,87,1,3.0,clear sky
155,Port Hueneme,US,34.1478,-119.1951,90.64,75,90,8.05,mist
156,Brenham,US,30.1669,-96.3977,80.56,84,1,3.44,clear sky
157,Petersburg,US,37.2279,-77.4019,76.15,84,40,0.0,scattered clouds
158,Pecos,US,31.4229,-103.4932,90.43,31,1,8.05,clear sky
159,Pemberton,CA,50.3164,-122.8027,63.09,87,100,5.32,overcast clouds
160,Eugene,US,44.0521,-123.0867,83.95,51,40,1.01,scattered clouds
161,Cranbrook,CA,49.4999,-115.7688,76.95,35,100,8.97,overcast clouds
162,Bristol,US,41.8334,-71.1662,73.0,85,1,1.99,clear sky
163,Prescott,US,34.54,-112.4685,88.9,32,40,4.0,scattered clouds
164,Sterling,US,39.0062,-77.4286,80.53,68,75,1.01,broken clouds
165,Weyburn,CA,49.6668,-103.8511,77.18,45,100,9.26,overcast clouds
166,Goshen,US,41.5823,-85.8344,71.49,94,90,4.61,overcast clouds
167,Whitefish,US,48.4111,-114.3376,77.9,46,94,9.01,overcast clouds
168,Zanesville,US,39.9404,-82.0132,76.08,85,90,0.0,overcast clouds
169,Freeport,US,40.6576,-73.5832,80.62,77,1,3.0,clear sky
170,West Wendover,US,40.7391,-114.0733,81.61,17,1,11.5,clear sky
171,Grandview,US,38.8858,-94.533,83.07,76,1,1.99,clear sky
172,Whitecourt,CA,54.1502,-115.6855,63.27,72,29,1.41,moderate rain
173,Barstow,US,34.8986,-117.0228,101.39,9,0,18.88,clear sky
174,Dodge City,US,37.7528,-100.0171,85.64,50,1,8.01,haze
175,Campbell River,CA,50.0163,-125.2446,63.59,75,100,0.78,overcast clouds
176,Winona,US,43.9666,-91.7668,76.8,85,1,0.0,clear sky
177,Marquette,US,46.5333,-87.6335,61.77,89,15,4.43,few clouds
178,Farmington,US,36.7281,-108.2187,90.7,17,1,8.05,clear sky
179,Suamico,US,44.6319,-88.0393,74.17,85,1,5.75,clear sky
180,Stony Mountain,CA,50.0864,-97.2196,71.1,39,90,6.64,overcast clouds
181,Cookeville,US,36.1628,-85.5016,73.62,94,90,0.0,overcast clouds
182,Rogers,US,36.3668,-95.5836,85.1,65,1,4.0,clear sky
183,Saint-Ambroise,CA,48.5501,-71.3324,71.58,71,100,3.53,overcast clouds
184,Eston,CA,51.1501,-108.7514,84.92,41,33,14.74,scattered clouds
185,Lapeer,US,43.0514,-83.3188,74.75,68,1,5.75,clear sky
186,Dauphin,CA,51.1494,-100.0502,75.97,42,48,13.27,scattered clouds
187,Kailua,US,21.4022,-157.7394,89.58,65,20,14.97,few clouds
188,Fort Frances,CA,48.5999,-93.4003,66.06,73,1,4.0,clear sky
189,Evanston,US,42.0411,-87.6901,78.98,74,75,5.01,broken clouds
190,Hopatcong,US,40.9329,-74.6593,78.03,76,92,0.0,overcast clouds
191,Boone,US,39.0334,-92.3335,80.53,79,0,5.32,clear sky
192,Killam,CA,52.7834,-111.8518,75.72,39,100,16.93,overcast clouds
193,Winnemucca,US,40.973,-117.7357,84.25,10,1,6.91,clear sky
194,Sheridan,US,44.8333,-106.9173,72.66,66,1,1.99,clear sky
195,Sunrise Manor,US,36.2111,-115.0731,105.31,4,1,18.41,clear sky
196,Scottsbluff,US,41.8666,-103.6672,77.23,50,1,11.5,clear sky
197,Kitimat,CA,54.0524,-128.6534,55.47,98,100,2.62,light rain
198,Elmvale,CA,44.5834,-79.8664,73.44,87,100,7.94,overcast clouds
199,Van Wert,US,40.8695,-84.5841,75.25,69,1,3.0,clear sky
